Country,Longitude,Latitude,Goldstein
UnitedStates,-120.019,38.1681,-2.0
UnitedStates,-120.612,35.0989,-10.0
UnitedStates,-121.082,36.5097,-5.0
UnitedStates,-121.494,38.5816,-3.0
UnitedStates,-122.28,37.7083,-10.0
UnitedStates,-122.301,40.1332,-2.0
UnitedStates,-122.545,37.906,-10.0
UnitedStates,-122.637,38.2324,-4.0
UnitedStates,-122.65,47.6632,-2.0
UnitedStates,-122.835,43.9165,-9.0
UnitedStates,-152.268,61.385,-5.0
UnitedStates,-68.9211,44.1873,-4.0
UnitedStates,-71.0598,42.3584,-2.0
UnitedStates,-71.5101,41.6772,-2.0
UnitedStates,-71.5653,43.4108,-4.0
UnitedStates,-73.1761,44.0085,-10.0
UnitedStates,-73.2104,40.7298,-2.0
UnitedStates,-73.9524,40.8854,-4.0
UnitedStates,-74.006,41.9695,-10.0
UnitedStates,-74.3776,40.489,-10.0
UnitedStates,-74.5089,40.314,-2.0
UnitedStates,-74.7829,41.7001,-5.0
UnitedStates,-76.2499,41.3754,-2.0
UnitedStates,-76.3077,36.881,-2.0
UnitedStates,-77.0178,38.8773,-6.0
UnitedStates,-77.0364,38.8951,-4.0
UnitedStates,-77.4603,37.5538,-4.0
UnitedStates,-78.2057,37.768,-5.0
UnitedStates,-78.8147,35.4252,-2.0
UnitedStates,-79.3602,38.2065,-5.0
UnitedStates,-79.8431,35.6411,-3.0
UnitedStates,-79.9309,32.7766,-5.0
UnitedStates,-80.3256,27.4467,-2.0
UnitedStates,-80.4164,27.0837,-2.0
UnitedStates,-80.5762,28.0553,-2.0
UnitedStates,-80.9696,38.468,-3.0
UnitedStates,-81.5498,35.3335,-4.0
UnitedStates,-81.7915,28.7919,-5.0
UnitedStates,-82.0576,29.2166,-4.0
UnitedStates,-82.7493,29.2919,-10.0
UnitedStates,-82.7755,40.3736,-9.0
UnitedStates,-84.5603,43.3504,-5.0
UnitedStates,-84.895,40.4984,-5.0
UnitedStates,-84.9953,42.2573,-4.0
UnitedStates,-85.4849,32.6021,-10.0
UnitedStates,-86.2604,39.8647,-10.0
UnitedStates,-87.679,46.4733,-2.0
UnitedStates,-88.8834,41.2667,-10.0
UnitedStates,-90.0751,29.9546,-3.0
UnitedStates,-94.8803,47.4736,-7.0
UnitedStates,-95.0586,46.9222,-6.0
UnitedStates,-97.1331,33.2148,-5.0
UnitedStates,-97.2112,46.9005,-2.0
UnitedStates,-97.3208,32.7254,-2.0
UnitedStates,-97.6475,31.106,-5.0
UnitedStates,-97.7389,30.286,-4.0
UnitedStates,-99.4632,44.2853,-10.0
UnitedStates,0.0,0.0,-7.0
Uzbekistan,64.0,41.0,-5.0
Vietnam,106.667,10.3333,-10.0
Vietnam,107.0,11.0,-4.0
AntiguaandBarbuda,-61.8,17.05,-4.0
Armenia,44.5136,40.1811,-10.0
Australia,133.0,-27.0,-7.0
Australia,146.283,-42.2833,-10.0
Australia,146.833,-18.0,-3.0
Australia,148.389,-30.9539,-2.0
Australia,148.716,-20.2672,-2.0
Australia,149.983,-36.7313,-2.0
Australia,151.276,-33.8902,-2.0
Australia,151.285,-33.7985,-5.0
Australia,152.658,-26.1892,-2.0
Australia,153.017,-27.5,-2.0
Austria,13.8333,46.75,-10.0
Austria,16.3667,48.2,-9.0
Bangladesh,90.0,24.0,-6.0
Botswana,25.9317,-24.6611,-5.0
Brazil,-40.3167,-13.6667,-2.0
Brazil,-42.6,-22.8667,-10.0
Brazil,-48.6333,-20.9167,-5.0
Brazil,-52.6972,-23.4799,-4.0
Canada,-111.633,57.1667,-5.0
Canada,-125.917,49.15,-5.0
Canada,-126.0,49.25,-5.0
Canada,-75.7,45.4167,-4.0
Canada,-79.4167,43.6667,-4.0
Chile,-70.6667,-33.45,-5.0
Chile,-71.0,-30.0,-4.0
Chile,-71.4167,-35.7,-4.0
Chile,-74.0,-48.0,-2.0
China,105.601,27.2239,-4.0
China,110.846,21.9392,-6.0
China,113.25,23.1167,-5.0
China,119.076,37.7575,-2.0
China,121.141,31.7867,-4.0
China,129.336,42.7683,-6.0
Czechoslovakia,17.1167,48.15,-10.0
Denmark,12.5833,55.6667,-10.0
Ecuador,-75.4,-0.933333,-5.0
Ethiopia,38.0,8.0,-10.0
France,-3.11963,47.4841,-5.0
France,2.0,46.0,-7.0
Germany,11.5833,48.15,-4.0
Ghana,-2.0,8.0,-10.0
Guatemala,-89.1333,15.4,-9.0
HongKong,114.1,22.35,-4.0
India,72.6667,23.0833,-5.0
India,77.0333,28.4667,-9.0
India,78.7833,28.8333,-10.0
India,80.9167,26.85,-10.0
India,92.0,24.0,-4.0
India,93.55,24.9667,-10.0
Indonesia,108.134,-7.0065,-8.0
Iran,53.0,32.0,-10.0
Iraq,44.0,33.0,-6.0
Ireland,-6.24889,53.3331,-7.0
Ireland,-9.93139,52.2783,-10.0
Japan,129.05,32.8667,-4.0
Japan,135.75,35.0,-3.0
Japan,138.0,36.0,-5.0
Japan,139.751,35.685,-6.0
Kenya,36.8333,-1.36667,-10.0
Laos,102.6,17.9667,-2.0
Malaysia,103.432,3.9679,-6.0
Malaysia,114.0,1.0,-4.0
Malta,14.25,36.0494,-10.0
Malta,14.3425,35.9747,-4.0
Malta,14.5833,35.8333,-5.0
Myanmar,98.0,22.0,-4.0
Namibia,17.0,-22.0,-7.0
NewZealand,169.117,-43.8,-4.0
NewZealand,174.083,-35.2833,-4.0
Nicaragua,-86.2683,12.1508,-9.0
Nigeria,6.0,4.83333,-4.0
Pakistan,65.785,26.4681,-5.0
Pakistan,73.1667,33.7,-4.0
Peru,-76.0,-10.0,-7.0
Philippines,120.995,14.5243,-6.0
Romania,26.1,44.4333,-2.0
Russia,30.2642,59.8944,-5.0
Russia,37.6156,55.7522,-5.0
Russia,54.9641,57.2682,-10.0
Russia,95.8414,56.7428,-5.0
Somalia,49.0,10.0,-2.0
